date,category,name,price,availability,url
2026-05-17,Dysk,ADATA Dysk SSD External SD810 2TB USB3.2C 20Gb/s Srebrny,1349.0,,https://www.x-kom.pl/p/1211896-dysk-zewnetrzny-ssd-adata-dysk-ssd-external-sd810-2tb-usb32c-20gb-s-srebrny.html
2026-05-17,Dysk,Lexar 1TB M.2 PCIe Gen4 NVMe NM790,699.0,,https://www.x-kom.pl/p/1146134-dysk-ssd-lexar-1tb-m2-pcie-gen4-nvme-nm790.html
2026-05-17,Dysk,Samsung 2TB M.2 PCIe Gen5 NVMe 9100 PRO,2199.0,,https://www.x-kom.pl/p/1322624-dysk-ssd-samsung-2tb-m2-pcie-gen5-nvme-9100-pro.html
2026-05-17,Dysk,Seagate BARRACUDA 2TB 7200obr. 256MB,525.0,,https://www.x-kom.pl/p/461759-dysk-hdd-seagate-barracuda-2tb-7200obr-256mb.html
2026-05-17,Dysk,Synology HAT3320-8T 8TB Plus,1749.0,,https://www.x-kom.pl/p/1418298-dysk-hdd-synology-hat3320-8t-8tb-plus.html
2026-05-17,Karta graficzna,Gigabyte GeForce RTX 5070 Windforce OC 12GB GDDR7 DLSS4,2899.0,Zobacz produkty,https://www.x-kom.pl/p/1318534-karta-graficzna-nvidia-gigabyte-geforce-rtx-5070-windforce-oc-12gb-gddr7-dlss4.html
2026-05-17,Karta graficzna,Gigabyte GeForce RTX 5080 Windforce OC 16GB GDDR7 DLSS4,5999.0,,https://www.x-kom.pl/p/1309189-karta-graficzna-nvidia-gigabyte-geforce-rtx-5080-windforce-oc-16gb-gddr7-dlss4.html
2026-05-17,Karta graficzna,Gigabyte Radeon RX 9060 XT Gaming OC 16GB GDDR6,2099.0,Zobacz produkty,https://www.x-kom.pl/p/1339802-karta-graficzna-amd-gigabyte-radeon-rx-9060-xt-gaming-oc-16gb-gddr6.html
2026-05-17,Karta graficzna,MSI GeForce RTX 5090 Gaming Trio OC 32GB GDDR7 DLSS4,18999.0,Zobacz produkty,https://www.x-kom.pl/p/1314559-karta-graficzna-nvidia-msi-geforce-rtx-5090-gaming-trio-oc-32gb-gddr7-dlss4.html
2026-05-17,Karta graficzna,PowerColor Radeon RX 7600 Fighter 8GB V2 GDDR6,999.0,,https://www.x-kom.pl/p/1368326-karta-graficzna-amd-powercolor-radeon-rx-7600-fighter-8gb-v2-gddr6.html
